epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2494.66,0.65164,0.87385,0.6621,0.86916,0.85721,0.83784,0.87253,0.68957,0.85721,0.83784,0.82728,0.55827,0.75344,1.29238,0.85031,0.89593,0.000317,0.000317,0.000317
87,2525.3,0.66943,0.89217,0.69325,0.87119,0.85891,0.83784,0.87278,0.68422,0.85891,0.83784,0.8298,0.56943,0.7511,1.26036,0.84381,0.89439,0.0002972,0.0002972,0.0002972
88,2553.65,0.62093,0.90237,0.64719,0.87685,0.86035,0.83269,0.87469,0.68401,0.86035,0.83269,0.82949,0.5671,0.74919,1.24954,0.84206,0.89229,0.0002774,0.0002774,0.0002774
89,2580.63,0.65406,0.88932,0.64451,0.8605,0.86035,0.83269,0.87469,0.68401,0.86035,0.83269,0.82949,0.5671,0.74919,1.24954,0.84206,0.89229,0.0002576,0.0002576,0.0002576
90,2608.04,0.65928,0.86737,0.63645,0.8665,0.87224,0.81081,0.87255,0.67222,0.87224,0.81081,0.82589,0.55848,0.75405,1.25133,0.83962,0.89081,0.0002378,0.0002378,0.0002378
91,2635.29,0.58315,0.81098,0.65417,0.85477,0.87709,0.81081,0.87034,0.66883,0.87709,0.81081,0.82056,0.55932,0.76015,1.24563,0.84499,0.89118,0.000218,0.000218,0.000218
92,2662.61,0.61122,0.82499,0.67775,0.84441,0.88227,0.81081,0.86804,0.66874,0.88227,0.81081,0.81356,0.5616,0.76741,1.24037,0.86617,0.89217,0.0001982,0.0001982,0.0001982
93,2689.54,0.5977,0.84622,0.63896,0.85812,0.88227,0.81081,0.86804,0.66874,0.88227,0.81081,0.81356,0.5616,0.76741,1.24037,0.86617,0.89217,0.0001784,0.0001784,0.0001784
94,2716.17,0.58937,0.78467,0.64,0.85144,0.89862,0.81081,0.85387,0.65942,0.89862,0.81081,0.8019,0.55836,0.77201,1.23197,0.88906,0.89496,0.0001586,0.0001586,0.0001586
95,2743.55,0.60444,0.80348,0.64446,0.86107,0.88195,0.80776,0.85158,0.66021,0.88195,0.80776,0.79838,0.56094,0.7699,1.22266,0.90771,0.89467,0.0001388,0.0001388,0.0001388
96,2769.9,0.57655,0.82284,0.62993,0.84587,0.87062,0.81081,0.84996,0.65937,0.87062,0.81081,0.79523,0.56123,0.77287,1.21334,0.92582,0.89583,0.000119,0.000119,0.000119
97,2796,0.56147,0.78456,0.61572,0.84789,0.87062,0.81081,0.84996,0.65937,0.87062,0.81081,0.79523,0.56123,0.77287,1.21334,0.92582,0.89583,9.92e-05,9.92e-05,9.92e-05
98,2821.95,0.56785,0.8071,0.61873,0.84016,0.87532,0.81081,0.85431,0.66125,0.87532,0.81081,0.79907,0.56296,0.77928,1.20816,0.91859,0.89698,7.94e-05,7.94e-05,7.94e-05
99,2848.45,0.58399,0.75418,0.63653,0.83537,0.88237,0.81099,0.85414,0.66199,0.88237,0.81099,0.79795,0.55843,0.78073,1.20556,0.91055,0.8967,5.96e-05,5.96e-05,5.96e-05
100,2875.11,0.56066,0.77024,0.62107,0.83675,0.88358,0.8207,0.85306,0.66075,0.88358,0.8207,0.79759,0.55773,0.77503,1.19924,0.89385,0.89499,3.98e-05,3.98e-05,3.98e-05
